         162
           1           2          11
           2          12          11
           2           3          12
           3          13          12
           3           4          13
           4          14          13
           4           5          14
           5          15          14
           5           6          15
           6          16          15
           6           7          16
           7          17          16
           7           8          17
           8          18          17
           8           9          18
           9          19          18
           9          10          19
          10          20          19
          11          12          21
          12          22          21
          12          13          22
          13          23          22
          13          14          23
          14          24          23
          14          15          24
          15          25          24
          15          16          25
          16          26          25
          16          17          26
          17          27          26
          17          18          27
          18          28          27
          18          19          28
          19          29          28
          19          20          29
          20          30          29
          21          22          31
          22          32          31
          22          23          32
          23          33          32
          23          24          33
          24          34          33
          24          25          34
          25          35          34
          25          26          35
          26          36          35
          26          27          36
          27          37          36
          27          28          37
          28          38          37
          28          29          38
          29          39          38
          29          30          39
          30          40          39
          31          32          41
          32          42          41
          32          33          42
          33          43          42
          33          34          43
          34          44          43
          34          35          44
          35          45          44
          35          36          45
          36          46          45
          36          37          46
          37          47          46
          37          38          47
          38          48          47
          38          39          48
          39          49          48
          39          40          49
          40          50          49
          41          42          51
          42          52          51
          42          43          52
          43          53          52
          43          44          53
          44          54          53
          44          45          54
          45          55          54
          45          46          55
          46          56          55
          46          47          56
          47          57          56
          47          48          57
          48          58          57
          48          49          58
          49          59          58
          49          50          59
          50          60          59
          51          52          61
          52          62          61
          52          53          62
          53          63          62
          53          54          63
          54          64          63
          54          55          64
          55          65          64
          55          56          65
          56          66          65
          56          57          66
          57          67          66
          57          58          67
          58          68          67
          58          59          68
          59          69          68
          59          60          69
          60          70          69
          61          62          71
          62          72          71
          62          63          72
          63          73          72
          63          64          73
          64          74          73
          64          65          74
          65          75          74
          65          66          75
          66          76          75
          66          67          76
          67          77          76
          67          68          77
          68          78          77
          68          69          78
          69          79          78
          69          70          79
          70          80          79
          71          72          81
          72          82          81
          72          73          82
          73          83          82
          73          74          83
          74          84          83
          74          75          84
          75          85          84
          75          76          85
          76          86          85
          76          77          86
          77          87          86
          77          78          87
          78          88          87
          78          79          88
          79          89          88
          79          80          89
          80          90          89
          81          82          91
          82          92          91
          82          83          92
          83          93          92
          83          84          93
          84          94          93
          84          85          94
          85          95          94
          85          86          95
          86          96          95
          86          87          96
          87          97          96
          87          88          97
          88          98          97
          88          89          98
          89          99          98
          89          90          99
          90         100          99
